pathway,gene
GO:0004675,Vitvi05_01chr05g19940
GO:0004675,Vitvi05_01chr09g02620
GO:0004675,Vitvi05_01chr05g09230
GO:0004675,Vitvi05_01chr03g02340
GO:0004675,Vitvi05_01chr18g03290
GO:0004675,Vitvi05_01chr14g28470
GO:0004675,Vitvi05_01chr11g04600
GO:0004675,Vitvi05_01chr09g00120
GO:0004675,Vitvi05_01chr07g28100
GO:0004675,Vitvi05_01chr09g17430
GO:0004675,Vitvi05_01chr15g12920
GO:0004675,Vitvi05_01chr09g19390
GO:0004675,Vitvi05_01chr18g17320
GO:0004675,Vitvi05_01chr12g00960
GO:0004675,Vitvi05_01chr10g01960
GO:0004675,Vitvi05_01chr10g10710
GO:0004675,Vitvi05_01chr16g12450
GO:0004675,Vitvi05_01chr09g03910
GO:0004675,Vitvi05_01chr04g13450
GO:0004675,Vitvi05_01chr08g00300
GO:0004675,Vitvi05_01chr09g19640
GO:0004675,Vitvi05_01chr09g19710
GO:0004675,Vitvi05_01chr14g28460
GO:0004675,Vitvi05_01chr12g08030
GO:0004675,Vitvi05_01chr07g23190
GO:0004675,Vitvi05_01chr09g19750
GO:0004675,Vitvi05_01chr03g03900
GO:0004675,Vitvi05_01chr07g24440
GO:0004675,Vitvi05_01chr09g19660
GO:0004675,Vitvi05_01chr08g10730
GO:0004675,Vitvi05_01chr09g19940
GO:0004675,Vitvi05_01chr09g13340
GO:0004675,Vitvi05_01chr09g19410
GO:0004675,Vitvi05_01chr01g13450
GO:0004675,Vitvi05_01chr13g02780
GO:0004675,Vitvi05_01chr10g06390
GO:0004675,Vitvi05_01chr08g16260
GO:0004675,Vitvi05_01chr02g11570
GO:0004675,Vitvi05_01chr08g13840
GO:0004675,Vitvi05_01chr15g13860
GO:0004675,Vitvi05_01chr09g17010
GO:0004675,Vitvi05_01chr09g04870
GO:0004675,Vitvi05_01chr12g02810
GO:0004675,Vitvi05_01chr07g06590
GO:0004675,Vitvi05_01chr04g02320
GO:0004675,Vitvi05_01chr09g17310
GO:0004675,Vitvi05_01chr09g17580
GO:0004675,Vitvi05_01chr14g28490
GO:0004675,Vitvi05_01chr10g13110
GO:0004675,Vitvi05_01chr04g17160
GO:0004675,Vitvi05_01chr09g17280
GO:0004675,Vitvi05_01chr14g28860
GO:0004675,Vitvi05_01chr06g04090
GO:0004675,Vitvi05_01chr07g10970
GO:0004888,Vitvi05_01chr06g13670
GO:0004888,Vitvi05_01chr10g13100
GO:0004888,Vitvi05_01chr09g19320
GO:0004888,Vitvi05_01chr14g14730
GO:0004888,Vitvi05_01chr18g00280
GO:0004888,Vitvi05_01chr09g19310
GO:0004888,Vitvi05_01chr07g23150
GO:0004888,Vitvi05_01chr12g10950
GO:0004888,Vitvi05_01chr18g11650
GO:0004888,Vitvi05_01chr18g32290
GO:0004888,Vitvi05_01chr13g24700
GO:0004888,Vitvi05_01chr09g20000
GO:0004888,Vitvi05_01chr03g09740
GO:0004888,Vitvi05_01chr06g21560
GO:0004888,Vitvi05_01chr09g17640
GO:0004888,Vitvi05_01chr18g00270
GO:0004888,Vitvi05_01chr09g19360
GO:0004888,Vitvi05_01chr11g17760
GO:0004888,Vitvi05_01chr07g15420
GO:0004888,Vitvi05_01chr18g01220
GO:0004888,Vitvi05_01chr05g19940
GO:0004888,Vitvi05_01chr09g02620
GO:0004888,Vitvi05_01chr05g09230
GO:0004888,Vitvi05_01chr03g02340
GO:0004888,Vitvi05_01chr18g03290
GO:0004888,Vitvi05_01chr14g28470
GO:0004888,Vitvi05_01chr11g04600
GO:0004888,Vitvi05_01chr09g00120
GO:0004888,Vitvi05_01chr07g28100
GO:0004888,Vitvi05_01chr09g17430
GO:0004888,Vitvi05_01chr15g12920
GO:0004888,Vitvi05_01chr09g19390
GO:0004888,Vitvi05_01chr04g10230
GO:0004888,Vitvi05_01chr18g17320
GO:0004888,Vitvi05_01chr12g00960
GO:0004888,Vitvi05_01chr10g01960
GO:0004888,Vitvi05_01chr10g10710
GO:0004888,Vitvi05_01chr16g12450
GO:0004888,Vitvi05_01chr09g03910
GO:0004888,Vitvi05_01chr07g03420
GO:0004888,Vitvi05_01chr04g13450
GO:0004888,Vitvi05_01chr08g00300
GO:0004888,Vitvi05_01chr09g19640
GO:0004888,Vitvi05_01chr09g19710
GO:0004888,Vitvi05_01chr12g08430
GO:0004888,Vitvi05_01chr14g28460
GO:0004888,Vitvi05_01chr12g08030
GO:0004888,Vitvi05_01chr07g23190
GO:0004888,Vitvi05_01chr09g19750
GO:0004888,Vitvi05_01chr03g03900
GO:0004888,Vitvi05_01chr07g24440
GO:0004888,Vitvi05_01chr09g19660
GO:0004888,Vitvi05_01chr08g10730
GO:0004888,Vitvi05_01chr09g19940
GO:0004888,Vitvi05_01chr09g13340
GO:0004888,Vitvi05_01chr09g19410
GO:0004888,Vitvi05_01chr01g13450
